pruning,No.,total,fruits,mean_score,median_score
0-5%,15,6,15,0.985846599,0.992120862
0-5%,16,2,19,0.981347937,0.997407258
0-5%,16,4,24,0.990210662,0.996309161
0-5%,16,6,27,0.990761148,0.997604549
0-5%,16,2,27,0.998294746,0.998515069
0-5%,16,4,17,0.987252232,0.997746527
0-5%,16,6,28,0.982529719,0.996982455
0-5%,16,4,38,0.989420965,0.997203261
0-5%,16,6,17,0.987252232,0.997746527
0-5%,16,4,28,0.997219015,0.998584151
0-5%,16,6,28,0.994284736,0.998145401
0-5%,16,6,37,0.990975551,0.997364461
0-5%,16,6,28,0.997219015,0.998584151
0-5%,17,2,2,0.981122524,0.981122524
0-5%,17,4,3,0.988584876,0.996589184
0-5%,17,6,3,0.995592137,0.998538256
0-5%,17,2,8,0.993123032,0.998027295
0-5%,17,4,2,0.981122524,0.981122524
0-5%,17,6,5,0.984442699,0.990242898
0-5%,17,4,2,0.997550845,0.997550845
0-5%,17,6,2,0.981122524,0.981122524
0-5%,17,4,8,0.993123032,0.998027295
0-5%,17,6,6,0.993588308,0.998163402
0-5%,17,6,3,0.990620494,0.999010682
0-5%,17,6,8,0.993123032,0.998027295
0-5%,18,2,5,0.998156619,0.998126447
0-5%,18,4,8,0.987595268,0.994525641
0-5%,18,6,7,0.991676552,0.997108638
0-5%,18,2,9,0.983128932,0.996572614
0-5%,18,4,7,0.979138511,0.997991562
0-5%,18,6,9,0.993580692,0.996862292
0-5%,18,4,5,0.997943604,0.998537183
0-5%,18,6,7,0.979138511,0.997991562
0-5%,18,4,9,0.987661488,0.99698168
0-5%,18,6,8,0.992588483,0.99760884
0-5%,18,6,8,0.98058755,0.988456756
0-5%,18,6,9,0.987661488,0.99698168
0-5%,19,2,3,0.999119182,0.999491215
0-5%,19,4,1,0.999047458,0.999047458
0-5%,19,6,0,nan,nan
0-5%,19,2,2,0.997863799,0.997863799
0-5%,19,4,3,0.999119182,0.999491215
0-5%,19,6,1,0.999753892,0.999753892
0-5%,19,4,0,nan,nan
0-5%,19,6,3,0.999323269,0.999704301
0-5%,19,4,2,0.997863799,0.997863799
0-5%,19,6,0,nan,nan
0-5%,19,6,1,0.996878743,0.996878743
0-5%,19,6,3,0.993301074,0.998436034
0-5%,20,2,15,0.993503916,0.998003781
0-5%,20,4,23,0.984317865,0.996111214
0-5%,20,6,19,0.980069314,0.996954441
0-5%,20,2,24,0.994039523,0.997333348
0-5%,20,4,15,0.993503916,0.998003781
0-5%,20,6,19,0.985897369,0.995553911
0-5%,20,4,23,0.991249364,0.996055722
0-5%,20,6,15,0.993503916,0.998003781
0-5%,20,4,24,0.994039523,0.997333348
0-5%,20,6,14,0.991809883,0.997285992
0-5%,20,6,23,0.995087066,0.997718573
0-5%,20,6,24,0.994039523,0.997333348
0-5%,21,2,31,0.981547544,0.995825529
0-5%,21,4,32,0.991456177,0.997182876
0-5%,21,6,23,0.985143659,0.997659445
0-5%,21,2,25,0.991408553,0.997547209
0-5%,21,4,32,0.985433429,0.99573651
0-5%,21,6,38,0.987398984,0.99755919
0-5%,21,4,34,0.989912617,0.99667263
0-5%,21,6,29,0.990448726,0.996819496
0-5%,21,4,27,0.984842232,0.996866167
0-5%,21,6,40,0.992235501,0.997068971
0-5%,21,6,36,0.988975517,0.997336477
0-5%,21,6,28,0.986148632,0.997276247
0-5%,22,2,6,0.983731697,0.996948361
0-5%,22,4,4,0.993747354,0.997786164
0-5%,22,6,6,0.998496344,0.998540312
0-5%,22,2,2,0.994322985,0.994322985
0-5%,22,4,6,0.983731697,0.996948361
0-5%,22,6,3,0.997420867,0.997315586
0-5%,22,4,4,0.996889785,0.996825576
0-5%,22,6,6,0.983731697,0.996948361
0-5%,22,4,2,0.994322985,0.994322985
0-5%,22,6,3,0.963580231,0.996522784
0-5%,22,6,4,0.990249887,0.998633981
0-5%,22,6,2,0.994322985,0.994322985
0-5%,23,2,21,0.980017699,0.995079398
0-5%,23,4,11,0.994380284,0.996102452
0-5%,23,6,16,0.987004243,0.996586621
0-5%,23,2,15,0.979230344,0.998169541
0-5%,23,4,21,0.980017699,0.995079398
0-5%,23,6,8,0.994119473,0.998509526
0-5%,23,4,16,0.994633798,0.997529894
0-5%,23,6,19,0.973876922,0.990797758
0-5%,23,4,15,0.979230344,0.998169541
0-5%,23,6,15,0.992418329,0.998256147
0-5%,23,6,14,0.995104368,0.998882592
0-5%,23,6,16,0.977531742,0.997867703
0-5%,24,2,15,0.994063989,0.998328984
0-5%,24,4,24,0.995396726,0.998143971
0-5%,24,6,22,0.995927494,0.998026401
0-5%,24,2,11,0.993652268,0.998062551
0-5%,24,4,15,0.994063989,0.998328984
0-5%,24,6,17,0.996394683,0.998248816
0-5%,24,4,18,0.987623774,0.998007685
0-5%,24,6,15,0.994063989,0.998328984
0-5%,24,4,11,0.993652268,0.998062551
0-5%,24,6,19,0.990696778,0.996785402
0-5%,24,6,19,0.996178423,0.997238159
0-5%,24,6,11,0.993652268,0.998062551
0-5%,25,2,6,0.996538778,0.998297423
0-5%,25,4,16,0.993523754,0.998113751
0-5%,25,6,12,0.99222978,0.995419353
0-5%,25,2,21,0.99264433,0.997045934
0-5%,25,4,6,0.998102526,0.998209476
0-5%,25,6,13,0.98454033,0.996845007
0-5%,25,4,9,0.983059261,0.996982276
0-5%,25,6,6,0.998102526,0.998209476
0-5%,25,4,20,0.987243608,0.994450212
0-5%,25,6,5,0.998204684,0.998822987
0-5%,25,6,14,0.985159963,0.995652109
0-5%,25,6,20,0.987243608,0.994450212
5%-10%,01,2,28,0.985721369,0.99783361
5%-10%,01,4,49,0.991110029,0.996614158
5%-10%,01,6,37,0.991731531,0.997644722
5%-10%,01,2,47,0.9847256,0.995090485
5%-10%,01,4,24,0.994276198,0.998163611
5%-10%,01,6,40,0.980858807,0.994743824
5%-10%,01,4,26,0.987750652,0.997652411
5%-10%,01,6,24,0.994276198,0.998163611
5%-10%,01,4,45,0.986321972,0.995703042
5%-10%,01,6,33,0.984957379,0.997413456
5%-10%,01,6,26,0.993651491,0.997356623
5%-10%,01,6,45,0.986321972,0.995703042
5%-10%,02,2,16,0.986297596,0.995536089
5%-10%,02,4,16,0.988294851,0.996775717
5%-10%,02,6,19,0.988849339,0.998437941
5%-10%,02,2,4,0.994199812,0.998500854
5%-10%,02,4,15,0.990470779,0.997353077
5%-10%,02,6,19,0.991323277,0.997948825
5%-10%,02,4,5,0.982088971,0.986889124
5%-10%,02,6,15,0.986037143,0.994980276
5%-10%,02,4,3,0.998641312,0.9988029
5%-10%,02,6,14,0.990789256,0.993890405
5%-10%,02,6,4,0.990385801,0.997112364
5%-10%,02,6,3,0.998439193,0.998893559
5%-10%,03,2,3,0.994595726,0.995481133
5%-10%,03,4,9,0.993450264,0.998485029
5%-10%,03,6,22,0.993592376,0.99735108
5%-10%,03,2,16,0.998006377,0.998503149
5%-10%,03,4,3,0.994595726,0.995481133
5%-10%,03,6,7,0.980105911,0.997044623
5%-10%,03,4,9,0.988484191,0.995693266
5%-10%,03,6,3,0.998302877,0.998403847
